1022,1020,1018,1036 5',1036 6',1034 5' ,1034 6' ,1032 5' ,1032 6' ,1050 5',1050 6',1048 5',1048 6',1046 5',1046 6'
0.181818182,0.03030303,0,0.262626263,0.202020202,0.01010101,0.02020202,0,0,0.121212121,0.171717172,0,0,0,0
0.45115249,0.134252044,0.007984032,0.162688322,0.146829628,0.007355153,0.025319225,0,0,0.031990813,0.022338884,0,0,0,0.01008941
0.798827039,0.027301684,0.011240878,0.088646207,0.047356624,0,0,0,0,0.016128217,0.010499351,0,0,0,0
0.812690665,0.020663006,0.005637584,0.109009559,0.04287167,0.001618873,0,0,0,0.005108806,0.002399837,0,0,0,0
0.898822781,0,0,0.077553293,0.023623926,0,0,0,0,0,0,0,0,0,0
0.788313872,0.042709801,0.013903403,0.072697533,0.066109319,0.005452315,0,0,0,0.005111545,0.005702213,0,0,0,0
0.816897649,0.017429846,0.009624834,0.11768179,0.030936965,0,0,0,0,0.004529334,0.002899582,0,0,0,0
0.842663108,0.026302779,0.024062172,0.088650107,0.014101212,0,0,0,0,0.003117366,0.001103255,0,0,0,0
0.518477343,0.021249071,0.002005912,0.263488486,0.129194354,0.007224684,0.006119733,0,0.000732668,0.025328893,0.026178856,0,0,0,0
0.922389989,0.0123377,0,0.048058281,0.01721403,0,0,0,0,0,0,0,0,0,0
0.909911448,0.005439953,0.005732686,0.057814749,0.010440807,0,0,0,0,0.003805528,0.003146879,0,0,0,0.00370795
0.937803169,0.017893716,0.009270238,0.029104236,0.005928641,0,0,0,0,0,0,0,0,0,0
0.908046992,0.002490946,0.004063245,0.061831994,0.016288314,0,0,0,0,0.002773607,0.002667609,0.001837294,0,0,0
0.78,0.02,0.01,0.17,0,0.01,0,0,0,0.01,0,0,0,0,0
0.734693878,0.020408163,0.010204082,0.204081633,0.020408163,0,0,0,0,0.010204082,0,0,0,0,0
0.52,0.02,0.02,0.34,0.04,0.01,0,0,0,0.05,0,0,0,0,0
0.505050505,0.03030303,0.03030303,0.313131313,0.050505051,0.01010101,0,0,0,0.060606061,0,0,0,0,0
0.636363636,0.02020202,0.01010101,0.272727273,0.03030303,0.01010101,0,0,0,0.02020202,0,0,0,0,0
0.55,0.02,0.04,0.28,0.04,0.01,0,0.01,0,0.04,0.01,0,0,0,0
0.67,0.02,0.01,0.26,0,0.01,0,0.01,0,0.02,0,0,0,0,0
0.56,0.03,0.02,0.31,0,0.01,0,0.01,0,0.05,0.01,0,0,0,0
0.686868687,0.02020202,0.01010101,0.232323232,0.02020202,0.01010101,0,0,0,0.02020202,0,0,0,0,0
