1302,1300,1298,1296,1292,1292iso,1022,1020,1018,1036 5',1034 5' ,1032 5' ,1050 5',1048 5',1046 5'
0.0067,0.0029,0.0029,0.0010,0.0083,0.0011,0.8106,0.0088,0.0060,0.1136,0.0000,0.0000,0.0032,0.0000,0.0000
0.0057,0.0030,0.0040,0.0016,0.0208,0.0027,0.7850,0.0130,0.0082,0.0942,0.0000,0.0000,0.0024,0.0000,0.0000
0.0048,0.0032,0.0050,0.0019,0.0128,0.0035,0.8246,0.0075,0.0074,0.0857,0.0000,0.0000,0.0035,0.0000,0.0000
0.0258,0.0181,0.0204,0.0036,0.0163,0.0021,0.7444,0.0083,0.0049,0.0834,0.0012,0.0000,0.0040,0.0000,0.0000
0.0038,0.0024,0.0030,0.0011,0.0154,0.0011,0.7977,0.0183,0.0056,0.0827,0.0013,0.0000,0.0036,0.0000,0.0000
0.0079,0.0038,0.0073,0.0012,0.0187,0.0017,0.8185,0.0108,0.0055,0.0699,0.0000,0.0000,0.0024,0.0000,0.0000
0.0084,0.0009,0.0009,0.0003,0.0100,0.0009,0.8290,0.0187,0.0056,0.0726,0.0029,0.0000,0.0026,0.0000,0.0000
0.0405,0.0062,0.0128,0.0063,0.0098,0.0042,0.7211,0.0103,0.0087,0.1121,0.0000,0.0000,0.0000,0.0000,0.0000
0.0186,0.0069,0.0098,0.0055,0.0151,0.0062,0.7940,0.0065,0.0039,0.0687,0.0006,0.0000,0.0112,0.0000,0.0000
0.0164,0.0065,0.0111,0.0051,0.0250,0.0069,0.7635,0.0073,0.0026,0.0856,0.0000,0.0079,0.0000,0.0000,0.0000
0.0297,0.0049,0.0168,0.0076,0.0239,0.0073,0.7515,0.0100,0.0054,0.0722,0.0000,0.0000,0.0100,0.0000,0.0000
0.0110,0.0041,0.0066,0.0028,0.0162,0.0056,0.8139,0.0053,0.0045,0.0738,0.0000,0.0000,0.0071,0.0000,0.0000
0.0111,0.0053,0.0020,0.0049,0.0656,0.0028,0.3721,0.1617,0.0481,0.0417,0.0158,0.0008,0.0092,0.0000,0.0000
0.0170,0.0053,0.0056,0.0055,0.0672,0.0136,0.4093,0.1634,0.0574,0.0374,0.0056,0.0013,0.0064,0.0000,0.0000
0.0146,0.0057,0.0044,0.0045,0.0860,0.0128,0.3805,0.1582,0.0497,0.0496,0.0253,0.0017,0.0050,0.0000,0.0000
0.2485,0.0052,0.0071,0.0035,0.0741,0.0034,0.2198,0.1140,0.0242,0.0295,0.0101,0.0011,0.0055,0.0016,0.0000
0.0061,0.0066,0.0049,0.0036,0.0748,0.0097,0.2212,0.1976,0.0408,0.0259,0.0400,0.0039,0.0101,0.0044,0.0009
0.0067,0.0017,0.0020,0.0011,0.0074,0.0018,0.8277,0.0204,0.0044,0.0688,0.0015,0.0000,0.0024,0.0000,0.0000
0.0373,0.0252,0.0212,0.0057,0.0114,0.0017,0.7581,0.0161,0.0031,0.0776,0.0000,0.0000,0.0027,0.0000,0.0000
0.0221,0.0034,0.0031,0.0015,0.0204,0.0045,0.7748,0.0163,0.0036,0.0705,0.0013,0.0000,0.0025,0.0000,0.0000
0.0094,0.0052,0.0047,0.0014,0.0026,0.0017,0.8315,0.0144,0.0026,0.0606,0.0010,0.0000,0.0039,0.0000,0.0000
0.0102,0.0016,0.0013,0.0006,0.0061,0.0018,0.8516,0.0053,0.0012,0.0843,0.0000,0.0000,0.0033,0.0000,0.0000

0.0422,0.0040,0.0056,0.0043,0.0166,0.0067,0.8424,0.0032,0.0021,0.0326,0.0000,0.0000,0.0047,0.0000,0.0000
0.0909,0.0050,0.0043,0.0022,0.0243,0.0043,0.7583,0.0037,0.0050,0.0222,0.0000,0.0000,0.0074,0.0000,0.0000
0.0653,0.0039,0.0042,0.0031,0.0145,0.0038,0.8016,0.0056,0.0042,0.0332,0.0000,0.0000,0.0039,0.0000,0.0000
0.1171,0.0064,0.0063,0.0051,0.0243,0.0080,0.7355,0.0039,0.0041,0.0245,0.0000,0.0000,0.0030,0.0000,0.0000
0.0640,0.0038,0.0041,0.0021,0.0231,0.0079,0.7887,0.0033,0.0037,0.0343,0.0000,0.0000,0.0035,0.0000,0.0000
0.0388,0.0107,0.0084,0.0053,0.0057,0.0037,0.8801,0.0020,0.0045,0.0232,0.0000,0.0000,0.0012,0.0000,0.0000
0.1019,0.0047,0.0056,0.0026,0.0064,0.0011,0.8208,0.0016,0.0024,0.0272,0.0000,0.0000,0.0007,0.0000,0.0000
0.0339,0.0042,0.0040,0.0020,0.0080,0.0023,0.8694,0.0017,0.0016,0.0471,0.0000,0.0000,0.0023,0.0000,0.0000
0.0760,0.0039,0.0024,0.0016,0.0062,0.0029,0.8183,0.0016,0.0016,0.0406,0.0000,0.0000,0.0040,0.0000,0.0000
0.0298,0.0095,0.0074,0.0038,0.0095,0.0028,0.8718,0.0027,0.0022,0.0323,0.0000,0.0000,0.0021,0.0000,0.0000
0.0217,0.0018,0.0016,0.0016,0.0051,0.0015,0.9011,0.0029,0.0028,0.0280,0.0000,0.0000,0.0106,0.0000,0.0000
0.0286,0.0070,0.0029,0.0049,0.0108,0.0079,0.8721,0.0022,0.0040,0.0154,0.0000,0.0000,0.0022,0.0000,0.0000
0.0718,0.0045,0.0049,0.0030,0.0187,0.0036,0.7543,0.0037,0.0035,0.0548,0.0000,0.0000,0.0063,0.0000,0.0000
0.0197,0.0003,0.0010,0.0011,0.0077,0.0041,0.8890,0.0016,0.0025,0.0485,0.0000,0.0000,0.0020,0.0000,0.0000
0.1204,0.0112,0.0128,0.0045,0.0148,0.0036,0.6620,0.0014,0.0000,0.0305,0.0000,0.0000,0.0104,0.0000,0.0000
0.0835,0.0079,0.0098,0.0074,0.0389,0.0077,0.7040,0.0049,0.0043,0.0194,0.0000,0.0000,0.0051,0.0000,0.0000
0.0394,0.0064,0.0036,0.0084,0.0352,0.0109,0.7969,0.0036,0.0043,0.0300,0.0000,0.0000,0.0055,0.0000,0.0000
0.0537,0.0061,0.0140,0.0103,0.0293,0.0111,0.7637,0.0050,0.0050,0.0343,0.0000,0.0000,0.0068,0.0000,0.0000
0.0616,0.0055,0.0027,0.0104,0.0377,0.0080,0.7820,0.0043,0.0047,0.0290,0.0000,0.0000,0.0066,0.0000,0.0000
0.0799,0.0156,0.0241,0.0218,0.0300,0.0205,0.6655,0.0064,0.0076,0.0285,0.0000,0.0000,0.0102,0.0000,0.0000
0.0341,0.0067,0.0095,0.0079,0.0231,0.0065,0.8117,0.0086,0.0065,0.0391,0.0000,0.0000,0.0034,0.0000,0.0000
0.0412,0.0037,0.0059,0.0039,0.0284,0.0079,0.8285,0.0044,0.0038,0.0095,0.0000,0.0000,0.0040,0.0000,0.0000
0.0510,0.0042,0.0061,0.0030,0.0299,0.0065,0.7946,0.0024,0.0025,0.0392,0.0000,0.0000,0.0037,0.0000,0.0000
0.0214,0.0065,0.0084,0.0047,0.0213,0.0069,0.8489,0.0044,0.0039,0.0311,0.0000,0.0000,0.0040,0.0000,0.0000
0.0647,0.0033,0.0050,0.0027,0.0248,0.0081,0.7784,0.0040,0.0039,0.0324,0.0000,0.0000,0.0035,0.0000,0.0000

0.0131,0.0052,0.0072,0.0060,0.0084,0.0063,0.8859,0.0113,0.0156,0.0205,0.0010,0.0000,0.0006,0.0000,0.0000
0.0062,0.0011,0.0016,0.0011,0.0039,0.0043,0.9200,0.0091,0.0169,0.0241,0.0000,0.0000,0.0007,0.0000,0.0000
0.0147,0.0072,0.0071,0.0053,0.0779,0.0138,0.6049,0.1008,0.0380,0.0123,0.0023,0.0000,0.0016,0.0000,0.0000
0.0139,0.0062,0.0088,0.0055,0.0065,0.0024,0.8887,0.0083,0.0090,0.0303,0.0000,0.0000,0.0013,0.0000,0.0000
0.0301,0.0024,0.0034,0.0018,0.0192,0.0012,0.8199,0.0177,0.0082,0.0424,0.0007,0.0000,0.0019,0.0000,0.0000
0.0195,0.0106,0.0151,0.0141,0.0244,0.0084,0.8069,0.0174,0.0140,0.0226,0.0000,0.0000,0.0011,0.0000,0.0000

0.0295,0.0028,0.0033,0.0023,0.0151,0.0054,0.8449,0.0050,0.0038,0.0512,0.0000,0.0000,0.0044,0.0000,0.0000
0.0267,0.0007,0.0005,0.0003,0.0031,0.0009,0.8977,0.0052,0.0044,0.0415,0.0000,0.0000,0.0026,0.0000,0.0000
0.0043,0.0006,0.0015,0.0011,0.0066,0.0003,0.9160,0.0054,0.0039,0.0452,0.0000,0.0000,0.0022,0.0000,0.0000
0.0046,0.0005,0.0005,0.0003,0.0003,0.0000,0.9665,0.0060,0.0057,0.0113,0.0000,0.0000,0.0000,0.0000,0.0000
